Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IHTA,Invesco High Income 2024 Target Term Fund Common Shares of Beneficial Interest No par value per share,$9.71,0.08,0.831%,85255091.00,,2017,40280,,
IIF,Morgan Stanley India Investment Fund Inc. Common Stock,$23.35,-0.20,-0.849%,264315719.00,United States,1994,24489,,
INSI,Insight Select Income Fund,$20.30,-0.11,-0.539%,217413711.00,United States,,8277,,
IRL,New Ireland Fund Inc (The) Common Stock,$12.70,1.38,12.191%,62468836.00,United States,1990,155115,,
IRR,Voya Natural Resources Equity Income Fund Common Shares of Beneficial Interest,$3.2397,-0.0203,-0.623%,72400459.00,United States,,307803,,
IRS,IRSA Inversiones Y Representaciones S.A. Common Stock,$3.97,0.05,1.276%,229734555.00,Argentina,,17358,Consumer Services,Homebuilding
IVC,Invacare Corporation Common Stock,$8.34,0.02,0.24%,287097569.00,United States,,242803,Health Care,Industrial Specialties
IVH,Ivy High Income Opportunities Fund Common Shares of Beneficial Interest,$13.5997,-0.0003,-0.002%,225350225.00,,2013,83513,,
JAX,J. Alexander's Holdings Inc. Common Stock,$10.03,0.11,1.109%,151353472.00,,2015,17314,Consumer Services,Restaurants
JCE,Nuveen Core Equity Alpha Fund Nuveen Core Equity Alpha Fund Common Shares of Beneficial Interest,$15.16,0.08,0.531%,243003900.00,United States,2007,60465,,
JCO,Nuveen Credit Opportunities 2022 Target Term Fund Common Shares of Beneficial Interest,$8.3903,-0.0197,-0.234%,232834953.00,United States,2017,51004,,
JDD,Nuveen Diversified Dividend and Income Fund Shares of Beneficial Interest,$9.47,0.06,0.638%,186260856.00,United States,2003,75283,,
JEMD,Nuveen Emerging Markets Debt 2022 Target Term Fund Common Shares of Beneficial Interest $0.01 par value per share,$7.89,-0.04,-0.504%,112408767.00,,2017,24074,,
JEQ,Aberdeen Japan Equity Fund Inc.  Common Stock,$9.18,0.08,0.879%,123090360.00,United States,1992,40142,,
JHAA,Nuveen Corporate Income 2023 Target Term Fund,$9.89,0.00,0.00%,77393790.00,,2018,9645,,
JHI,John Hancock Investors Trust Common Stock,$18.284,-0.006,-0.033%,159199245.00,United States,,16171,,
JHS,John Hancock Income Securities Trust Common Stock,$15.40,-0.16,-1.028%,179357394.00,United States,,10172,,
JILL,J. Jill Inc. Common Stock,$8.90,-1.05,-10.553%,85721534.00,,2017,267961,Consumer Non-Durables,Apparel
JLS,Nuveen Mortgage and Income Fund,$20.73,0.00,0.00%,113754631.00,United States,2009,12867,,
JMM,Nuveen Multi-Market Income Fund (MA),$7.26,-0.03,-0.412%,68696668.00,United States,,847,,
JMP,JMP Group LLC Common Shares,$6.40,0.32,5.263%,126869466.00,United States,2007,76711,Finance,Investment Bankers/Brokers/Service
JOF,Japan Smaller Capitalization Fund Inc Common Stock,$9.40,0.06,0.642%,266338594.00,United States,1990,55426,,
JP,Jupai Holdings Limited American Depositary Shares each representing six ordinary shares,$2.23,-0.01,-0.446%,75182927.00,,2015,128810,Consumer Services,Other Consumer Services
JPT,Nuveen Preferred and Income 2022 Term Fund Common Shares of Beneficial Interest,$24.13,-0.2313,-0.949%,165075067.00,United States,2017,73439,,
JRS,Nuveen Real Estate Income Fund Common Shares of Beneficial Interest,$9.56,-0.06,-0.624%,276212023.00,United States,2001,190486,,
JSD,Nuveen Short Duration Credit Opportunities Fund Common Shares of Beneficial Interest,$14.15,-0.01,-0.071%,142711919.00,United States,2011,39267,,
JT,Jianpu Technology Inc. American depositary shares,$2.56,-0.02,-0.775%,54103516.00,,2017,70907,Technology,Computer Software: Programming Data Processing
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund Common Share of Beneficial Interest,$10.72,0.00,0.00%,148481616.00,United States,2004,70664,,
JTD,Nuveen Tax-Advantaged Dividend Growth Fund Common Shares of Beneficial Interest,$15.12,0.04,0.265%,219003221.00,United States,,27789,,
KF,Korea Fund Inc. (The) New Common Stock,$44.8299,0.9299,2.118%,225045022.00,United States,,22342,,
KFS,Kingsway Financial Services Inc. Common Stock (DE),$4.69,0.09,1.957%,106514914.00,Canada,,80231,Finance,Property-Casualty Insurers
KSM,DWS Strategic Municipal Income Trust,$11.79,-0.06,-0.506%,132094464.00,United States,1989,16003,,
KUKE,Kuke Music Holding Limited American Depositary Shares each representing one Ordinary Share,$6.94,-0.09,-1.28%,205193058.00,,2021,26610,Consumer Services,Other Consumer Services
KWAC,Kingswood Acquisition Corp. Class A Common Stock,$10.00,0.02,0.20%,144790000.00,,2021,15808,Finance,Business Services
LAIX,LAIX Inc. American Depositary Shares each  representing one Class A Ordinary Share,$2.50,0.06,2.459%,123530583.00,,2018,425434,Consumer Services,Other Consumer Services
LCI,Lannett Co Inc Common Stock,$5.62,-0.12,-2.091%,232677723.00,United States,,311441,Health Care,Major Pharmaceuticals
LEE,Lee Enterprises Incorporated Common Stock,$29.56,3.54,13.605%,173707951.00,United States,,89670,Consumer Services,Newspapers/Magazines
LFT,Lument Finance Trust Inc. Common Stock,$3.5498,0.0298,0.847%,88544021.00,United States,2013,55401,Consumer Services,Real Estate Investment Trusts
LGI,Lazard Global Total Return and Income Fund Common Stock,$19.41,0.11,0.57%,252517520.00,United States,2004,98373,,
LUB,Luby's Inc. Common Stock,$3.45,0.13,3.916%,106059838.00,United States,,67002,Consumer Services,Restaurants
LXU,LSB Industries Inc. Common Stock,$5.33,0.02,0.377%,160101202.00,United States,,200318,Basic Industries,Major Chemicals
MAV,Pioneer Municipal High Income Advantage Trust Common Shares of Beneficial Interest,$11.92,0.05,0.421%,284876318.00,United States,,60561,,
MCI,Barings Corporate Investors Common Stock,$14.22,0.11,0.78%,288121644.00,United States,,17648,,
MCN,Madison Covered Call & Equity Strategy Fund Common Stock,$7.81,0.06,0.774%,163595476.00,United States,2004,117701,,
MEC,Mayville Engineering Company Inc. Common Stock,$14.42,-0.85,-5.566%,289256404.00,,2019,53719,Capital Goods,Industrial Specialties
MFD,Macquarie First Trust Global Common Stock,$9.38,0.11,1.187%,80175006.00,United States,2004,25233,,
MFM,MFS Municipal Income Trust Common Stock,$6.81,-0.04,-0.584%,280487767.00,United States,1986,48873,,
MFT,Blackrock MuniYield Investment Quality Fund Common Shares of Beneficial Interest,$14.62,0.065,0.447%,123958872.00,United States,1992,12280,,
MGF,MFS Government Markets Income Trust Common Stock,$4.39,0.01,0.228%,143053813.00,United States,1987,213810,,
MGU,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock,$22.48,0.48,2.182%,280287227.00,United States,2005,39844,,
MHD,Blackrock MuniHoldings Fund Inc. Common Stock,$16.13,-0.10,-0.616%,229202816.00,United States,1997,162251,,
MHF,Western Asset Municipal High Income Fund Inc. Common Stock,$7.80,-0.01,-0.128%,168736885.00,United States,1988,16448,,
MHI,Pioneer Municipal High Income Trust Common Shares of Beneficial Interest,$12.47,0.02,0.161%,283958722.00,,2003,33794,,
MIE,Cohen & Steers MLP Income and Energy Opportunity Fund Inc. Common Stock,$3.20,-0.05,-1.538%,83494554.00,,2013,117867,,
MITT,AG Mortgage Investment Trust Inc. Common Stock,$4.09,-0.10,-2.387%,169556467.00,United States,2011,853652,,
MLP,Maui Land & Pineapple Company Inc. Common Stock,$11.67,-0.23,-1.933%,226279643.00,United States,,24392,Finance,Real Estate
MN,Manning & Napier Inc. Class A Common Stock,$6.45,-0.01,-0.155%,110559476.00,United States,2011,98078,Finance,Investment Managers
MNP,Western Asset Municipal Partners Fund Inc. Common Stock,$15.43,0.11,0.718%,149965142.00,United States,1993,18921,,
MOGU,MOGU Inc. American Depositary Shares (each  representing 25 Class A Ordinary Shares),$2.00,0.00,0.00%,216935054.00,,2018,193275,Miscellaneous,Business Services
MPA,Blackrock MuniYield Pennsylvania Quality Fund Common Stock,$14.81,-0.03,-0.202%,197093776.00,United States,1992,22497,,
MPV,Barings Participation Investors Common Stock,$13.0095,0.2095,1.637%,137922816.00,United States,1988,11318,Consumer Services,Miscellaneous
MSD,Morgan Stanley Emerging Markets Debt Fund Inc. Common Stock,$8.94,-0.06,-0.667%,182257277.00,United States,1993,58741,,
MTT,Western Asset Municipal Defined Opportunity Trust Inc Common Stock,$21.165,0.015,0.071%,258222207.00,United States,2009,17178,,
MVO,MV Oil Trust Units of Beneficial Interests,$4.46,0.03,0.677%,51290000.00,United States,2007,75864,Energy,Oil & Gas Production
MXF,Mexico Fund Inc. (The) Common Stock,$14.52,0.17,1.185%,217875852.00,United States,,26245,,
MYF,Blackrock MuniYield Investment Fund Common Stock,$14.08,0.03,0.214%,193092444.00,United States,1992,23415,,
MZA,Blackrock MuniYield Arizona Fund Inc. Common Stock,$14.75,0.23,1.584%,68405161.00,United States,1993,10938,,
NAZ,Nuveen Arizona Quality Municipal Income Fund Common Stock,$15.2121,0.0021,0.014%,176021613.00,United States,1992,7730,,
NC,NACCO Industries Inc. Common Stock,$24.54,-0.11,-0.446%,173199026.00,United States,,12706,Consumer Durables,Consumer Electronics/Appliances
NCA,Nuveen California Municipal Value Fund,$10.24,0.03,0.294%,287651830.00,United States,,40010,,
NETI,Eneti Inc. Common Stock,$21.36,-0.51,-2.332%,240715943.00,Monaco,2013,35920,Transportation,Marine Transportation
NGL,NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests,$2.08,-0.10,-4.587%,268669513.00,United States,2011,1735223,Energy,Oil Refining/Marketing
NGS,Natural Gas Services Group Inc. Common Stock,$9.26,-0.19,-2.011%,125989736.00,United States,2002,17094,Energy,Oilfield Services/Equipment
NIM,Nuveen Select Maturities Municipal Fund Common Stock,$10.63,-0.11,-1.024%,132294209.00,United States,1992,10283,,
NINE,Nine Energy Service Inc. Common Stock,$2.35,0.10,4.444%,74155004.00,United States,2018,133283,Energy,Oilfield Services/Equipment
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund Common Shares of Beneficial Interest,$14.57,0.06,0.414%,190825388.00,,2013,27987,,
NKG,Nuveen Georgia Quality Municipal Income Fund ,$13.14,0.01,0.076%,136653530.00,United States,2002,8707,,
NM,Navios Maritime Holdings Inc. Common Stock,$9.13,0.07,0.773%,144987431.00,Monaco,,248161,Transportation,Marine Transportation
NMI,Nuveen Municipal Income Fund Inc. Common Stock,$11.44,-0.01,-0.087%,105225589.00,United States,1988,11535,,
NMM,Navios Maritime Partners LP Common Units Representing Limited Partner Interests,$22.68,-0.84,-3.571%,257308841.00,Greece,2007,2104823,Transportation,Marine Transportation
NMS,Nuveen Minnesota Quality Municipal Income Fund ,$14.87,-0.03,-0.201%,85984080.00,United States,2014,5494,,
NMT,Nuveen Massachusetts Quality Municipal Income Fund Common Stock,$14.365,0.005,0.035%,133921318.00,United States,,20458,,
NNA,Navios Maritime Acquisition Corporation Common stock,$4.00,0.00,0.00%,68413484.00,Greece,,158698,Transportation,Marine Transportation
NNY,Nuveen New York Municipal Value Fund Inc. Common Stock,$9.79,0.02,0.205%,149152285.00,United States,1988,16090,,
NPV,Nuveen Virginia Quality Municipal Income Fund Common Stock,$16.09,0.02,0.124%,287830808.00,United States,1993,10420,,
NREF,NexPoint Real Estate Finance Inc. Common Stock,$19.75,0.36,1.857%,99195916.00,,2020,57294,Consumer Services,Real Estate Investment Trusts
NRP,Natural Resource Partners LP Limited Partnership,$16.01,-0.20,-1.234%,197744409.00,United States,2002,10634,Energy,Coal Mining
NSH,NavSight Holdings Inc. Class A Common Stock,$10.02,0.01,0.10%,288075000.00,,2020,272606,Finance,Business Services
NSL,Nuveen Senior Income Fund Common Stock,$5.64,0.01,0.178%,217768702.00,United States,1999,365451,,
NTG,Tortoise Midstream Energy Fund Inc. Common Stock,$26.33,0.04,0.152%,153912463.00,,2010,34427,,
NTZ,Natuzzi S.p.A.,$12.4976,0.3676,3.031%,137106283.00,Italy,1993,5154,Consumer Durables,Home Furnishings
NUO,Nuveen Ohio Quality Municipal Income Fund Common Stock,$15.62,-0.07,-0.446%,286110837.00,United States,1991,29122,,
NUW,Nuveen AMT-Free Municipal Value Fund,$16.60,0.1045,0.634%,257566961.00,United States,2009,34042,,
NWHM,New Home Company Inc. (The) Common Stock,$5.72,0.09,1.599%,103584058.00,,2014,67708,Capital Goods,Homebuilding
NXC,Nuveen California Select Tax-Free Income Portfolio Common Stock,$16.0195,-0.2705,-1.661%,101779669.00,United States,1992,6287,,
NXN,Nuveen New York Select Tax-Free Income Portfolio Common Stock,$14.1326,-0.0703,-0.495%,55468971.00,United States,1992,3655,,
NXP,Nuveen Select Tax Free Income Portfolio Common Stock,$17.64,-0.08,-0.451%,292463103.00,United States,1992,11689,,
NXQ,Nuveen Select Tax Free Income Portfolio II Common Stock,$15.92,-0.23,-1.424%,282002534.00,United States,1992,22826,,
NXR,Nuveen Select Tax Free Income Portfolio III Common Stock,$17.10,0.09,0.529%,223079076.00,United States,1992,16942,,
NYC,New York City REIT Inc. Class A Common Stock,$8.50,0.00,0.00%,108599808.00,,2020,25838,Consumer Services,Real Estate Investment Trusts
OCA,Omnichannel Acquisition Corp. Class A Common Stock,$9.75,-0.10,-1.015%,251671875.00,,2021,36923,Finance,Business Services
OCN,Ocwen Financial Corporation NEW Common Stock,$28.69,0.03,0.105%,249251548.00,United States,,30069,Finance,Finance: Consumer Services
ODC,Oil-Dri Corporation Of America Common Stock,$35.69,0.47,1.334%,265170775.00,United States,,31062,Consumer Durables,Miscellaneous manufacturing industries
OPP,RiverNorth/DoubleLine Strategic Opportunity Fund Inc. Common Stock,$15.05,-0.02,-0.133%,208560838.00,United States,2016,139859,,
