Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TNP,Tsakos Energy Navigation Ltd Common Shares,$9.72,-0.08,-0.816%,182551796.00,Greece,2002,86900,Transportation,Marine Transportation
TPZ,Tortoise Power and Energy Infrastructure Fund Inc Common Stock,$12.13,-0.02,-0.165%,83371031.00,United States,2009,25509,,
TREC,Trecora Resources Common Stock,$7.80,0.10,1.299%,193710605.00,United States,,155594,Energy,Integrated oil Companies
TSI,TCW Strategic Income Fund Inc. Common Stock,$5.66,-0.01,-0.176%,270256165.00,United States,,75398,,
TSQ,Townsquare Media Inc. Class A Common Stock,$10.60,-0.41,-3.724%,170853768.00,United States,2014,63314,Consumer Services,Broadcasting
TWN,Taiwan Fund Inc. (The) Common Stock,$28.7009,0.1959,0.687%,214363176.00,United States,1986,8996,,
TWOA,two Class A Ordinary Shares,$9.95,0.00,0.00%,254720000.00,,2021,1001446,Finance,Business Services
USDP,USD Partners LP Common Units representing limited partner interest,$5.68,-0.07,-1.217%,157254077.00,United States,2014,61312,Transportation,Railroads
UTI,Universal Technical Institute Inc Common Stock,$6.04,0.04,0.667%,197748084.00,United States,2003,1070674,Consumer Services,Other Consumer Services
VBF,Invesco Bond Fund Common Stock,$19.60,-0.23,-1.16%,223177987.00,United States,,19350,,
VCIF,Vertical Capital Income Fund Common Shares of Beneficial Interest,$10.2696,0.0196,0.191%,106598479.00,,2019,42923,,
VEL,Velocity Financial Inc. Common Stock,$8.98,0.01,0.111%,184696096.00,,2020,12188,Finance,Finance: Consumer Services
VGI,Virtus Global Multi-Sector Income Fund Common Shares of Beneficial Interest,$12.05,0.04,0.333%,136255471.00,United States,2012,51621,,
VIST,Vista Oil & Gas S.A.B. de C.V. American Depositary Shares each representing one series A share with no par value,$2.58,-0.09,-3.371%,226656323.00,,2019,306989,Energy,Oil & Gas Production
VLT,Invesco High Income Trust II,$13.91,-0.04,-0.287%,90341875.00,United States,1989,17817,,
VNCE,Vince Holding Corp. Common Stock,$11.50,0.38,3.417%,135725703.00,,2013,13347,Consumer Services,Clothing/Shoe/Accessory Stores
VOC,VOC Energy Trust Units of Beneficial Interest,$3.36,-0.14,-4.00%,57120000.00,United States,2011,104312,Energy,Oil & Gas Production
VTN,Invesco Trust for Investment Grade New York Municipals Common Stock,$13.09,0.00,0.00%,254963787.00,United States,,18299,,
WEA,Western Asset Bond Fund Share of Beneficial Interest,$13.88,-0.12,-0.857%,164663118.00,United States,2002,41624,,
WEI,Weidai Ltd. American depositary shares each  representing one (1) Class A ordinary share,$1.41,-0.04,-2.759%,99350652.00,Cayman Islands,2018,662965,Finance,Finance: Consumer Services
WHG,Westwood Holdings Group Inc Common Stock,$15.56,-0.17,-1.081%,131188959.00,United States,,197806,Finance,Investment Managers
WIA,Western Asset Inflation-Linked Income Fund,$12.84,-0.01,-0.078%,299470890.00,United States,2003,15366,,
WMC,Western Asset Mortgage Capital Corporation Common Stock,$3.17,-0.11,-3.354%,192776262.00,United States,2012,783741,Consumer Services,Real Estate Investment Trusts
WPG,Washington Prime Group Inc. Common Stock,$2.49,0.03,1.22%,60522657.00,United States,2014,1393089,Consumer Services,Real Estate Investment Trusts
XFLT,XAI Octagon Floating Rate & Alternative Income Term Trust Common Shares of Beneficial Interest,$9.18,0.06,0.658%,164301317.00,United States,2017,126751,,
XIN,Xinyuan Real Estate Co Ltd American Depositary Shares,$2.83,-0.03,-1.049%,185655604.00,China,2007,34991,Basic Industries,Homebuilding
XYF,X Financial American Depositary Shares each representing six Class A Ordinary Shares,$3.75,-0.05,-1.316%,200636213.00,,2018,57098,,
ZTR,Virtus Total Return Fund Inc.,$9.28,0.07,0.76%,228869132.00,United States,1988,201057,,
